2016-01-01,Travel,Arco,,,-24.5,
2016-01-01,Games,Steam,,,-8.2,
2016-01-01,Phone,T-Mobile,,,-116,
2016-01-01,Travel,Traffic violation,,,-124,
2016-01-03,Books,SW Coast Path Association,Cornwall book,,-22.71,
2016-01-04,Food Out,Metropolitan Market,,,-10.17,
2016-01-04,Books,Amazon,Kindle Unlimited,,-10.94,
2016-01-04,Entertainment,Patreon,,,-3.5,
2016-01-05,Games,Steam,,,-5,
2016-01-05,Bank,Fee,,,,
2016-01-06,Health,UW,,,-5,
2016-01-06,Games,Steam,,,-9.08,
2016-01-07,Travel,UW,Parking,,-6,
2016-01-07,Entertainment,BSB,,,-6,
2016-01-07,Food Out,UW,,,-9.81,
2016-01-07,Food Out,UW,,,-2.51,
2016-01-08,Joint,Paid credit card,,,-146.61,
2016-01-08,Joint,,,,"-2,000.00",
2016-01-08,Entertainment,Subscriptions,SF,,-5,
2016-01-08,Food Out,Oodles of Noodles,,,-95,
2016-01-08,Pay,RATLab,,,"1,017.26",
2016-01-09,Joint,Air NZ,NZ Flights,,"-2,346.36",
2016-01-09,Travel,UW,Parking,,-6,
2016-01-10,Joint,Air NZ,NZ Flights,,,
2016-01-11,Food Out,Noodle Nation,,,-11.5,
2016-01-11,Food Out,El Farol,,,-60,
2016-01-11,Food Out,Jimmy John's,,,-9.3,
2016-01-11,Food Out,Emerald City Smoothies,,,-5.5,
2016-01-11,Sport,Silent World,Flipper springs,,-87.6,
2016-01-13,Books,Harvard Business Review,,,-95.59,
2016-01-13,Tech,Google,Storage,,-2.18,
2016-01-13,Food Out,Mi Mero Mole,,,-15,
2016-01-14,Food Out,Airport water,,,-2.59,
2016-01-14,Food Out,McDonald's,,,-12.91,
2016-01-14,Music,Google,Music,,-10.94,
2016-01-14,Cash Out,Cash Out,Euros,,-216.55,
2016-01-14,Food Out,Jimmy John's,,,-9.3,
2016-01-15,Bank,Dividend/Interest,,,1.9,
2016-01-15,Bank,Foreign Transaction Fee,,,-1.73,
2016-01-15,Food Out,JFK,Airport food,,-16.57,
2016-01-15,Pay,Envelop,,,"3,247.71",
2016-01-15,Books,Humble Bundle,Comics,,-20,
2016-01-15,Games,Humble Bundle,,,-15,
2016-01-15,Food Out,Dublin Airport,Breakfast,,-18.24,
2016-01-16,Bank,Foreign Transaction Fee,,,-0.15,
2016-01-18,Travel,Brussels Metro,,,,
2016-01-18,Travel,Brussels Metro,,,,
2016-01-20,Travel,Arco,,,,
2016-01-20,Food Out,Airport Food,Dublin,,,
2016-01-21,Food Out,Metropolitan Market,,,-17.56,
2016-01-21,Food Out,Peasant Food,,,-11.5,
2016-01-21,Project,Amazon,Watch The Skies Jan 2016,,-36.99,
2016-01-21,Food Out,United Airlines,Snack,,-8.99,
2016-01-21,Project,Amazon,Watch The Skies Jan 2016,,-71.03,
2016-01-22,Food Out,Metropolitan Market,,,-13.69,
2016-01-22,Project,Office Depot,Watch The Skies Jan 2016,,-25.2,
2016-01-22,Pay,RATLab,,,"1,017.26",
2016-01-22,Food Out,Taqueria El Riconsito,,,-19,
2016-01-23,Project,Amazon,Watch The Skies Jan 2016,,3.82,
2016-01-24,Tech,GeekISP,Hosting,,-25,
2016-01-24,Transfer,,,,-438.74,
2016-01-25,Food Out,Taqueria El Riconsito,,,-20.54,
2016-01-25,Entertainment,ATC,,,-12,
2016-01-25,Food Out,Elysian Fields,,,-31,
2016-01-25,Pay,UW,,,665.42,
2016-01-25,Tech,Crazy Domains,Fingz,,,
2016-01-25,Transfer,,,,,
2016-01-26,Food Out,Metropolitan Market,,,-13.69,
2016-01-26,Food Out,Kidd Valley,,,-12.23,
2016-01-26,Phone,T-Mobile,,,-116,
2016-01-27,Travel,UW,Parking,,-6,
2016-01-27,Tech,Google Domains,VWS,,-13.14,
2016-01-27,Food Out,Jimmy John's,,,-9.3,
2016-01-27,Transfer,,,,,
